"","DEK1.bam","DEK2.bam","DEK3.bam","DEK4.bam","DEK5.bam","DEK6.bam","DEK7.bam","DEK8.bam"
"Mgat5b",0.0401339608324543,0.600665297179779,0.0362044702374778,0,0.227185502572224,0.0821059945155907,0.199946692421494,0.363512425650567
"SCARNA16",1.67333179653905,1.49835513685266,1.50949694395062,4.17765313591037,0.42098646885097,1.33128317046435,0.463139433678191,0.935565691212042
"AABR07030841.1",0,0,0,0,0,0,0,0
"Sec14l1",30.5418079614514,30.2713948189628,33.0326710735263,31.1386377138204,39.934553509578,29.8111370182189,31.0746751590516,32.8473112783425
"Sept9",0.745014666223149,1.07214124178926,0.756079598028175,0.190228233220867,0.21086447469784,0.190518730366277,0.463956258076213,0.468607859443069
"AABR07030854.1",0,0,0,0,0,0,0,0
"AABR07030854.2",0,0,0,0,0,0,0,0
"Tnrc6c",0.65616324503568,0,0.369949199242298,0.307159170848778,0.340480254234664,0.335594435988647,0.839949804813676,0.302662121437323
"Tmc6",0.2690594367825,0.619520085701411,0,0.343501300115387,0.761529663399207,0.206415516148431,0,0.13538886945438
"Tmc8",0.119373582069101,0.893302911819362,0.0538428952627449,0,0.743309191045835,0.488428576266822,0,0.540611734756137
"LOC688282",0,0,0,0,0,0,0,0
"Syngr2",0,0,0,0.855122158321074,0,0,0,0.168520500827201
"Tk1",36.7811103940189,29.6003792074874,20.4877799822765,16.7041058291909,32.1809800814898,29.4411995541645,22.1789080647262,28.3909177385483
"Afmid",1.07246062839381,1.74309414794124,1.65036729462064,1.67523573126763,1.64270227869447,1.48420236720825,1.83337553594633,0.761865681159054
"Birc5",161.130543120572,163.361166241205,123.583938419966,67.4584615085709,132.502236020826,132.153219113037,111.191661149461,125.089312418138
"AABR07030866.1",0,0,0,0,0,0,0,0
"Tmem235",0,0,0,0,0,0,0,0
"LOC688286",0,0,0,0,0,0,0,0
"Socs3",0,0,0,0,0,0,0,0
"Pgs1",20.6254076887843,16.961008546481,23.478983761797,14.2586507345062,17.6322109531328,15.9309264832538,23.3005490105591,16.873992078842
"Dnah17",0.0117131576017226,0.0674250315100387,0.0528316489305402,0.0239262218802643,0,0.047925519129405,0.116709493491221,0
"Cyth1",1.02133296844421,0.823080964924867,1.01346839735692,1.92978631757281,2.08131801621485,1.72378915081402,1.65368548272716,1.28481942120029
"Usp36",27.6940690299517,28.817642650078,20.2683031557984,16.3522931377266,20.2742271113713,25.8086624445894,18.1584914165048,17.8883148308199
"Timp2",300.890779918708,254.507224611271,327.609608462404,285.493009217695,255.351991271923,225.836096994967,328.789403811828,268.164106097769
"Cep295nl",0,0,1.36630132084619,0.18199000264831,0.100866274314124,0.182267919208682,0.221931832111259,0.358651054628868
"Lgals3bp",45.4758494490422,50.5296069900213,74.375116636606,53.2181657107339,55.5644679401636,34.0585601644911,70.0743869980683,71.5868647240032
"Cant1",14.0610008191574,15.3683616765466,11.8279733071307,10.1193939187925,9.336439238405,7.28252495175363,15.9118751049318,11.1653983660425
"C1qtnf1",5.13203272372669,4.28355739602232,7.71593110298731,3.88748137136525,2.95349740268934,2.36229852309179,6.46294574728897,5.55216814199423
"Engase",1.14760268767555,1.0478486585691,2.32036918855262,1.17209199557234,1.65765394005221,0.76909503456254,0.624306865882469,1.19475688570471
"Rbfox3",0,0,0.61443077898727,0,0.99143864961586,0.298592469612749,0,0.0979240748049951
"AABR07030880.1",0,0,0,0,0,0,0,0
"AABR07030890.1",0,0,0,0,0,0,0,0
"AABR07030891.1",0,0,0,0,0,0,0,0
"AABR07030894.1",0,0,0,0,0,0,0,0
"Enpp7",0,0,0,0,0,0,0,0
"Cbx2",4.0975061627607,3.11246891056389,1.82910776354976,1.94146934825217,2.05643470304322,2.20369205040065,2.66570707640269,1.82802051537303
"Cbx8",0.58324279604454,0,1.47318602090026,3.81240912764294,3.30155073141593,2.98299300766786,0.193713695382336,1.29132866834157
"Cbx4",0.219099230160024,0,0,0,0,0,0,0
"Tbc1d16",0,0,0,0,0,0,0,0
"AABR07030897.1",0,0,0,0,0,0,0,0
"AABR07030901.1",0,0,0,0,0,0,0,0
"Gaa",39.9252416572446,40.7834385531759,50.326189345207,45.3282576385175,34.0519434931354,35.7801410516363,52.316647318918,34.6195623066427
"Eif4a3",66.5316722303928,58.9666961571674,73.7359067180997,67.3042707394085,88.4745162937199,70.4317263167266,75.3237624549312,76.8406298031804
"Card14",0,0.365473397251208,0.0954569432380261,0,0,0.162360901980479,0,0.212986498039455
"Sgsh",0,0,0,0,0.584170148959327,0,0.142813897029974,0
"Slc26a11",0,0,0,0,0,0,0.221807081221933,0
"Rnf213",0.133626219211866,0.177507519202212,0.101997890098019,0.251958905749421,0.069822945583225,0.0210286393065367,0.256047496913775,0.124135015598623
"Endov",7.83854195582105,4.84886566338309,6.54338310907988,3.46520255411822,4.6358258866824,4.30819976835647,4.76000617360835,4.23865153336126
"AABR07030910.1",0,0,0,0,0,0,0,0
"Nptx1",0.570298313828219,0.347594457233201,1.05918393497594,0.513942542421688,1.44322934302404,1.50986699020898,0.529246163517052,0.675224031268666
"AABR07030911.1",0,0,0,0.714300716796235,0,0,0,0.703842798156874
"AABR07030911.2",0,0,0,0,0,0,0,0
"Rptor",1.91537665559956,1.47007705065399,2.17580273037575,2.14945977004581,2.27555158039911,1.28197007752731,2.27760344873777,1.42785843065412
"Chmp6",26.028651034569,14.7488924125625,17.5184322267132,17.4458092910978,20.2592307372082,23.1925983179484,13.7610081282611,12.17652558416
"AABR07030914.1",3.62966024170173,3.28327901393107,3.50815983700471,1.8535577520138,0.880557622244746,2.38678497805019,1.29163599834311,0.521834349533656
"Baiap2",1.52887795244104,0.293358539241318,1.68567236922314,2.77600621734001,2.40402460764763,1.91141874739057,0.98736857281742,1.28220155857264
"Aatk",0,0.38116729574613,0.407274493712688,0,0.238529669411665,0.461816968012118,0.199934028751064,0.0605815670843747
"Mir3065",0,0,0,0,0,0,0,0
"Cep131",2.48585149283832,4.3915148932152,5.76081102815786,3.06418773398385,3.25102700052608,3.50727662719737,3.52316783476624,2.76052629926462
"Mir3594",0,0,0,0,0,0,0,0
"Mir3562",0,0,0,0,0,0,0,0
"Enthd2",5.5451635187126,4.01466789568009,3.86771140456492,5.13801583803052,7.05452388835292,4.09329939096221,5.36379310920264,4.66006925167271
