"","DEK1.bam","DEK2.bam","DEK3.bam","DEK4.bam","DEK5.bam","DEK6.bam","DEK7.bam","DEK8.bam"
"Vom2r3",0,0,0,0,0,0,0,0
"LOC100909608",0,0,0,0,0,0,0,0
"Vom2r6",0.204954464345898,0,0,0,0,0,0,0
"Vom2r5",0,0,0,0,0,0,0,0
"Raet1c",0.436890275896826,0.376358293547087,1.01934521399956,1.86277850632112,0.744523682114535,1.85841396965414,0.940856290772525,0.342748536226397
"SNORA32",0,0,0.451560403211018,0,0,0,0,0
"AABR07000121.1",5.53422382784854,5.01708295313343,6.43144373429847,4.11354685921401,6.86555975704815,6.74213574764504,5.8266348420114,4.92392187773472
"AABR07000137.1",0,0,0,0,0.227974305763753,0,0,0
"AABR07000145.1",0,0,0,0,0,0.221878750071214,0,0
"Raet1d",0,2.14733315262699,0,0,0,0.458795948758365,0,0
"AABR07000156.1",0,0,0,0,0,0,0,0
"LOC679782",0,0,0,0,0,0,0,0
"AABR07000159.4",0,0,0,0,0,0,0,0
"Lrp11",1.74208159875042,1.00047524347635,2.99302081265669,3.71387547107615,3.46354967750284,2.7367760785525,1.77349540034882,3.18895586703147
"AABR07000159.1",0,0,0,0,0,0,0,0
"Pcmt1",10.1423694312364,9.38914900743785,11.4434912708476,17.1040649253652,15.4782554965917,15.7761413959017,9.51915478751781,11.2425528637068
"Nup43",12.9849878977063,10.5610953902354,10.5464087121966,11.7462251629784,16.4267603073915,15.6000574767622,9.37157154054466,11.3066125046918
"Lats1",2.53853470418886,2.05571180234341,2.19870475713337,1.69362168503224,3.27823641884917,1.76733870482621,1.16415532859945,1.50916721785589
"Katna1",8.36980632818744,7.24498533219978,9.39622291686282,8.92163100804514,9.37109001949223,8.77173135395562,5.90371891358458,8.81846690792424
"Ginm1",4.77061076505128,4.76479249843267,3.29081880384953,2.7636625225242,5.06640013650456,5.07322443338577,4.28813347909785,2.27812428525478
"AABR07000159.3",0,0,0,0,0,0,0,0
"AABR07000159.2",1.07857286862029,1.65179473278999,0,1.14968360937007,0,0,0.309698529045956,0.752142621163482
"Ppil4",60.8016145639346,56.3035330962893,46.9793841706843,41.9415827603075,54.5918702271941,53.3911318086331,51.0118922231539,53.0229889932979
"Zc3h12d",0.280528299614055,0.0402767612980491,0.392714411895792,0,0.159353483844617,0.0745807556908748,0.151031523241051,0.0733598871901527
"Tab2",14.7991327578945,14.5281377569177,9.5334628852383,10.828240028785,13.0841003230371,9.77975623173166,10.9443966407933,7.90292399936969
"Ust",3.68344806947852,4.37668869335915,2.19299268438717,2.23392889750023,2.81388305274152,2.22869474617655,1.58648314192335,2.25864221860673
"U6",0.332606540282327,0.392946197105845,0.449781879103047,0.4920083415039,0.384042180213426,0.339267809136595,0.4935010230198,0.44873893192409
"AABR07000173.1",0,0,0.423833010031394,0,0,0,0,0
"Sash1",8.13529374395018,6.85392005307051,6.34870193449516,8.77766739104119,8.40635545181419,6.2611157599113,5.43150393956117,7.05328765074469
"SNORA36",0.739267871286315,0.326585074585016,0.530722354389048,0.424312052667336,0.646060752274256,1.45137558482435,0.489857075819614,1.24916481019243
